Test Accuracy,Training time
0.8838857827,70.9037809372
0.8948682109,81.0112509727
0.8901757188,96.0044493675
0.8856829073,97.4607832432
0.8867811502,105.41492486
0.8794928115,110.4539916515
0.8937699681,111.9253919125
0.8884784345,112.4581255913
0.8883785942,114.1220180988
0.8816892971,121.2285349369
0.884784345,122.1610956192
0.8867811502,124.663513422
0.8957667732,127.0105111599
0.8817891374,127.8642296791
0.8779952077,129.8768382072
0.8786940895,155.9477002621
0.8785942492,175.3110234737
0.884384984,180.3439905643
0.8834864217,180.6305346489
0.8832867412,180.8709716797
0.883586262,180.9506280422
0.883586262,182.7451052666
0.8848841853,185.5336341858
0.8823881789,187.055257082
0.8883785942,194.1509985924
0.874600639,199.3665606976
0.8873801917,205.4880347252
0.8808905751,228.774532795
0.8862819489,229.6848483086
0.8861821086,263.3839631081
0.8787939297,289.2078635693
0.879293131,293.0589544773
0.8857827476,305.471370697
0.8844848243,318.6900951862
0.8821884984,330.022923708
0.8798921725,331.3197486401
0.8777955272,338.9526274204
0.8793929712,348.075248003
0.8772963259,349.5065593719
0.8887779553,351.8503818512
0.8828873802,352.4786872864
0.8855830671,369.7991657257
0.8850838658,380.6902048588
0.8841853035,386.0200471878
0.8799920128,392.9934973717
0.8764976038,396.2112512589
0.883586262,398.4448006153
0.8810902556,402.0381429195
0.8822883387,409.6416800022
0.8767971246,411.148314476
0.8786940895,413.8496277332
0.8801916933,416.5413520336
0.8818889776,419.9444577694
0.8720047923,430.6586275101
0.8811900958,437.2732276917
0.874600639,437.3923988342
0.888278754,441.1778051853
0.8832867412,445.7081131935
0.8761980831,445.842564106
0.8766972843,453.1159405708
0.8794928115,453.3206365108
0.8824880192,461.9307668209
0.8808905751,462.8632369041
0.8813897764,466.2237226963
0.8861821086,479.4746527672
0.8836861022,480.2703149319
0.8880790735,486.8598906994
0.8829872204,487.008805275
0.8662140575,491.3566997051
0.8876797125,501.4621429443
0.8771964856,504.4740302563
0.8806908946,517.2095296383
0.8862819489,519.5763247013
0.8873801917,523.4467139244
0.8822883387,534.2842361927
0.883186901,536.5650734901
0.8727036741,538.2819104195
0.8850838658,542.6456463337
0.8863817891,545.255553484
0.8804912141,548.3099639416
0.879293131,555.0621788502
0.87889377,555.8479132652
0.8846845048,557.2612671852
0.8809904153,557.7959253788
0.8841853035,568.665832758
0.8914736422,570.8142561913
0.8825878594,575.6294660568
0.8814896166,575.8149967194
0.8786940895,576.9396948814
0.8820886581,590.0644366741
0.8836861022,597.8818843365
0.8782947284,604.4377923012
0.8848841853,605.3656921387
0.8856829073,605.9447777271
0.8889776358,606.5375547409
0.8782947284,611.9855282307
0.8823881789,616.7947778702
0.8852835463,625.0366687775
0.8775958466,625.1390707493
0.8797923323,629.1001107693
0.8857827476,634.2800500393
0.8880790735,638.7947866917
0.8846845048,650.5059268475
0.8870806709,655.0486626625
0.8866813099,667.5740876198
0.8777955272,671.284705162
0.8840854633,679.2682526112
0.8841853035,679.6016566753
0.8795926518,681.6285357475
0.8861821086,686.2875592709
0.8884784345,711.006664753
0.8810902556,725.9131734371
0.8860822684,733.1911334991
0.883586262,736.4786069393
0.8774960064,762.4792981148
0.8820886581,763.9890179634
0.8824880192,778.6737709045
0.8785942492,812.3401231766
0.8885782748,829.9171538353
0.8876797125,855.2220308781
0.8724041534,889.8256132603
0.880091853,895.8322951794
0.8731030351,900.7633030415
0.880091853,901.5097503662
0.8805910543,922.3615765572
0.8838857827,937.9418652058
0.8745007987,965.8970558643
0.8770966454,1181.9945914745
