Channels/Neurons,Accuracy after training
"{'conv_1': ['conv', 3, 1], 'conv_2': ['conv', 3, 2], 'fc_1': ['fc', 97], 'fc_2': ['fc', 10]}",0.8610223642
"{'conv_1': ['conv', 3, 1], 'conv_2': ['conv', 3, 2], 'fc_1': ['fc', 98], 'fc_2': ['fc', 10]}",0.8750998403
"{'conv_1': ['conv', 3, 1], 'conv_2': ['conv', 3, 2], 'fc_1': ['fc', 99], 'fc_2': ['fc', 10]}",0.8562300319
"{'conv_1': ['conv', 3, 1], 'conv_2': ['conv', 3, 2], 'fc_1': ['fc', 100], 'fc_2': ['fc', 10]}",0.8645167732
"{'conv_1': ['conv', 3, 1], 'conv_2': ['conv', 3, 3], 'fc_1': ['fc', 100], 'fc_2': ['fc', 10]}",0.8826876997
"{'conv_1': ['conv', 3, 1], 'conv_2': ['conv', 3, 4], 'fc_1': ['fc', 100], 'fc_2': ['fc', 10]}",0.8790934505
"{'conv_1': ['conv', 3, 1], 'conv_2': ['conv', 3, 5], 'fc_1': ['fc', 100], 'fc_2': ['fc', 10]}",0.8814896166
"{'conv_1': ['conv', 3, 1], 'conv_2': ['conv', 3, 6], 'fc_1': ['fc', 100], 'fc_2': ['fc', 10]}",0.8821884984
"{'conv_1': ['conv', 3, 1], 'conv_2': ['conv', 3, 7], 'fc_1': ['fc', 100], 'fc_2': ['fc', 10]}",0.8808905751
"{'conv_1': ['conv', 3, 1], 'conv_2': ['conv', 3, 8], 'fc_1': ['fc', 100], 'fc_2': ['fc', 10]}",0.8809904153
"{'conv_1': ['conv', 3, 2], 'conv_2': ['conv', 3, 8], 'fc_1': ['fc', 100], 'fc_2': ['fc', 10]}",0.8953674121
"{'conv_1': ['conv', 3, 3], 'conv_2': ['conv', 3, 8], 'fc_1': ['fc', 100], 'fc_2': ['fc', 10]}",0.8966653355
"{'conv_1': ['conv', 3, 4], 'conv_2': ['conv', 3, 8], 'fc_1': ['fc', 100], 'fc_2': ['fc', 10]}",0.9036541534
"{'conv_1': ['conv', 3, 5], 'conv_2': ['conv', 3, 8], 'fc_1': ['fc', 100], 'fc_2': ['fc', 10]}",0.9074480831
"{'conv_1': ['conv', 3, 6], 'conv_2': ['conv', 3, 8], 'fc_1': ['fc', 100], 'fc_2': ['fc', 10]}",0.9084464856
"{'conv_1': ['conv', 3, 7], 'conv_2': ['conv', 3, 8], 'fc_1': ['fc', 100], 'fc_2': ['fc', 10]}",0.90625
